Rating,Publication Cost,ISBN,Book Title,Year,Genres,Link,Total Revenue,Book URL
4.4,136455.0,0439023483,"The Hunger Games (The Hunger Games, #1)",2008,"young-adult, science-fiction, dystopia, fantasy, science-fiction, romance, adventure, book-club, young-adult, teen, apocalyptic, post-apocalyptic, action",dir01/2767052-the-hunger-games.html,2958974.0,https://www.goodreads.com/author/show/153394.Suzanne_Collins
4.41,16648.0,0439358078,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2003,"fantasy, young-adult, fiction, fantasy, magic, childrens, adventure, science-fiction-fantasy",dir01/2.Harry_Potter_and_the_Order_of_the_Phoenix.html,1284478.0,https://www.goodreads.com/author/show/1077326.J_K_Rowling
3.56,85746.0,0316015849,"Twilight (Twilight, #1)",2005,"young-adult, fantasy, romance, paranormal, vampires, fiction, fantasy, paranormal, romance, paranormal-romance, fantasy, supernatural, young-adult, teen, fantasy, urban-fantasy",dir01/41865.Twilight.html,2579564.0,https://www.goodreads.com/author/show/941441.Stephenie_Meyer
4.23,47906.0,0061120081,To Kill a Mockingbird,1960,"classics, fiction, historical-fiction, academic, school, literature, young-adult, academic, read-for-school, novels, book-club, young-adult, high-school",dir01/2657.To_Kill_a_Mockingbird.html,2078123.0,https://www.goodreads.com/author/show/1825.Harper_Lee
4.23,34772.0,0679783261,Pride and Prejudice,1813,"classics, fiction, romance, historical-fiction, literature, novels, european-literature, british-literature, classics, classic-literature, adult, academic, school",dir01/1885.Pride_and_Prejudice.html,1388992.0,https://www.goodreads.com/author/show/1265.Jane_Austen
4.25,12363.0,0446675539,Gone with the Wind,1936,"classics, historical-fiction, fiction, romance, literature, romance, historical-romance, war, military-history, civil-war",dir01/18405.Gone_with_the_Wind.html,645470.0,https://www.goodreads.com/author/show/11081.Margaret_Mitchell
4.22,7205.0,0066238501,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",1949,"classics, young-adult, childrens, christian, adventure, science-fiction-fantasy, fantasy, religion, fantasy, magic, literature",dir01/11127.The_Chronicles_of_Narnia.html,286677.0,https://www.goodreads.com/author/show/1069006.C_S_Lewis
4.38,10902.0,0060256656,The Giving Tree,1964,"childrens, young-adult, childrens, picture-books, fantasy, inspirational, classics, academic, school, philosophy, childrens, juvenile, short-stories",dir01/370493.The_Giving_Tree.html,502891.0,https://www.goodreads.com/author/show/435477.Shel_Silverstein
3.79,20670.0,0452284244,Animal Farm,1945,"classics, fiction, science-fiction, dystopia, literature, fantasy, academic, school, politics, science-fiction, academic, read-for-school, novels",dir01/7613.Animal_Farm.html,1364879.0,https://www.goodreads.com/author/show/3706.George_Orwell
4.18,12302.0,0345391802,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1979,"science-fiction, humor, fantasy, classics, humor, comedy, science-fiction-fantasy, humor, funny",dir01/11.The_Hitchhiker_s_Guide_to_the_Galaxy.html,724713.0,https://www.goodreads.com/author/show/4.Douglas_Adams
